ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
ALBANY ISD,Texas,ALBANY ISD,48417,4807680
ALBANY LEADERSHIP CHARTER SCHOOL FOR GIRLS,New York,ALBANY LEADERSHIP CHARTER SCHOOL FOR GIRLS,36001,3601006
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,ALBANY PUBLIC SCHOOL DISTRICT,27145,2702930
ALBANY R-III,Missouri,ALBANY R-III,29075,2902970
ALBANY SCHOOL DISTRICT,Wisconsin,Albany School District,55045,5500120
ALBANY SCHOOL DISTRICT,New Hampshire,Albany School District,33003,3301350
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,New York,ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,36001,3680100
ALBEMARLE COUNTY PUBLIC SCHOOLS,Virginia,ALBEMARLE CO PBLC SCHS,51540,5100090
ALBERS SD 63,Illinois,Albers SD 63,17027,1703270
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,Albert City-Truesdale Comm School District,19021,1900031
ALBERT EINSTEIN ACADEMIES DISTRICT,CALIFORNIA,Albert Einstein Academy Charter Middle District,06073,0601896
