ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
SAN ANTONIO UNION ELEMENTARY,California,San Antonio Union Elementary,06053,0634050
SAN ARDO UNION ELEMENTARY,California,San Ardo Union Elementary,06053,0634080
SAN AUGUSTINE ISD,Texas,SAN AUGUSTINE ISD,48405,4838760
SAN BENITO CISD,Texas,SAN BENITO CISD,48061,4838790
SAN BENITO COUNTY OFFICE OF EDUCATION,California,San Benito County Office of Education,06069,0691028
SAN BENITO HIGH,California,San Benito High,06069,0634140
SAN BERNARDINO CITY UNIFIED,California,San Bernardino City Unified,06071,0634170
SAN BERNARDINO COUNTY OFFICE OF EDUCATION,California,San Bernardino County Office of Education,06071,0691029
SAN BERNARDINO COUNTY ROP,California,San Bernardino County ROP,06071,0600132
SAN BRUNO PARK ELEMENTARY,California,San Bruno Park Elementary,06081,0634230
SAN CARLOS CHARTER LEARNING CENTER DISTRICT,CALIFORNIA,San Carlos Charter Learning Center District,06081,0601842
SAN CARLOS ELEMENTARY,California,San Carlos Elementary,06081,0634290
SAN CARLOS UNIFIED DISTRICT (4210),Arizona,San Carlos Unified District (4210),04007,0406960
SAN DIEGO COOPERATIVE CHARTER DISTRICT,CALIFORNIA,San Diego Cooperative Charter District,06073,0601809
SAN DIEGO COUNTY OFFICE OF EDUCATION,California,San Diego County Office of Education,06073,0691030
SAN DIEGO COUNTY ROP,California,San Diego County ROP,06073,0600138
SAN DIEGO GLOBAL VISION ACADEMY DISTRICT,CALIFORNIA,SD Global Vision Academy District,06073,0601483
SAN DIEGO ISD,Texas,SAN DIEGO ISD,48131,4838820
SAN DIEGO MISSION ACADEMY DISTRICT,CALIFORNIA,San Diego Mission Academy District,06073,0602294
SAN DIEGO UNIFIED,California,San Diego Unified,06073,0634320
SAN DIEGO VIRTUAL DISTRICT,CALIFORNIA,San Diego Virtual District,06073,0601893
SAN DIEGO WORKFORCE INNOVATION HIGH DISTRICT,CALIFORNIA,San Diego Workforce Innovation High District,06073,0602108
SAN DIEGUITO UNION HIGH,California,San Dieguito Union High,06073,0634380
SAN ELIZARIO ISD,Texas,SAN ELIZARIO ISD,48141,4838850
SAN FELIPE-DEL RIO CISD,Texas,SAN FELIPE-DEL RIO CISD,48465,4838900
SAN FERNANDO ELEMENTARY DISTRICT (4414),Arizona,San Fernando Elementary District (4414),04019,0407380
SAN FRANCISCO COUNTY OFFICE OF EDUCATION,California,San Francisco County Office of Education,06075,0691111
SAN FRANCISCO COUNTY ROP,California,San Francisco County ROP,06075,0600139
SAN FRANCISCO UNIFIED,California,San Francisco Unified,06075,0634410
SAN GABRIEL UNIFIED,California,San Gabriel Unified,06037,0634425
SAN GABRIEL VALLEY REGIONAL OCCUPATIONAL PROGRAM,California,San Gabriel Valley Regional Occupational Program,06037,0601356
SAN GABRIEL VALLEY REGIONAL OCCUPATIONAL PROGRAM,California,San Gabriel Valley Regional Occupational Program,06037,0600105
SAN ISIDRO ISD,Texas,SAN ISIDRO ISD,48427,4838910
SAN JACINTO UNIFIED,California,San Jacinto Unified,06065,0634440
SAN JACINTO VALLEY ACADEMY DISTRICT,CALIFORNIA,San Jacinto Valley Academy District,06065,0602390
SAN JOAQUIN COUNTY OFFICE OF EDUCATION,California,San Joaquin County Office of Education,06077,0691031
SAN JOAQUIN COUNTY ROP,California,San Joaquin County ROP,06077,0600140
SAN JOAQUIN DATA PROCESSING JPA,California,San Joaquin Data Processing JPA,06077,0601369
SAN JON,New Mexico,SAN JON MUNICIPAL SCHOOLS,35037,3502340
SAN JOSE CHARTER ACADEMY DISTRICT,CALIFORNIA,San Jose Charter Academy District,06037,0601695
SAN JOSE CONSERVATION CORPS CHARTER DISTRICT,CALIFORNIA,San Jose Conservation Corps Charter District,06085,0601697
SAN JOSE UNIFIED,California,San Jose Unified,06085,0634590
SAN JUAN BOCES,Colorado,San Juan boces,08067,0899300
SAN JUAN BOCES AU,Colorado,San Juan BOCES AU,08067,0800253
SAN JUAN DISTRICT,Utah,San Juan District,49037,4900900
SAN JUAN ISLAND SCHOOL DISTRICT,Washington,San Juan Island School District,53055,5307650
SAN JUAN UNIFIED,California,San Juan Unified,06067,0634620
SAN LEANDRO UNIFIED,California,San Leandro Unified,06001,0634680
SAN LORENZO UNIFIED,California,San Lorenzo Unified,06001,0634710
SAN LORENZO VALLEY UNIFIED,California,San Lorenzo Valley Unified,06087,0634740
SAN LUCAS UNION ELEMENTARY,California,San Lucas Union Elementary,06053,0634770
SAN LUIS COASTAL UNIFIED,California,San Luis Coastal Unified,06079,0634800
SAN LUIS OBISPO COUNTY OFFICE OF EDUCATION,California,San Luis Obispo County Office of Education,06079,0691032
SAN LUIS VALLEY BOCES,Colorado,San Luis Valley BOCES,08003,0899320
SAN LUIS VALLEY BOCES AU,Colorado,San Luis Valley BOCES AU,08003,0800261
SAN MARCOS CISD,Texas,SAN MARCOS CISD,48209,4838970
SAN MARCOS UNIFIED,California,San Marcos Unified,06073,0634880
SAN MARINO UNIFIED,California,San Marino Unified,06037,0634860
SAN MATEO COUNTY OFFICE OF EDUCATION,California,San Mateo County Office of Education,06081,0691033
SAN MATEO UNION HIGH,California,San Mateo Union High,06081,0634980
SAN MATEO-FOSTER CITY,California,San Mateo-Foster City,06081,0634920
SAN MIGUEL JOINT UNION,California,San Miguel Joint Union,06079,0635010
SAN PASQUAL UNION ELEMENTARY,California,San Pasqual Union Elementary,06073,0635040
SAN PASQUAL VALLEY UNIFIED,California,San Pasqual Valley Unified,06025,0635070
SAN PERLITA ISD,Texas,SAN PERLITA ISD,48489,4839000
SAN RAFAEL CITY ELEMENTARY,California,San Rafael City Elementary,06041,0635090
SAN RAFAEL CITY HIGH,California,San Rafael City High,06041,0635110
SAN RAMON VALLEY UNIFIED,California,San Ramon Valley Unified,06013,0635130
SAN SABA ISD,Texas,SAN SABA ISD,48411,4839030
SAN SIMON UNIFIED DISTRICT (4172),Arizona,San Simon Unified District (4172),04003,0407430
SAN TAN MONTESSORI SCHOOL INC. (89798),Arizona,San Tan Montessori School Inc. (89798),04013,0400775
SAN VICENTE ISD,Texas,SAN VICENTE ISD,48043,4839060
SAN YSIDRO ELEMENTARY,California,San Ysidro Elementary,06073,0635220
SANBORN CENTRAL SCHOOL DISTRICT 55-5,South Dakota,Sanborn Central School District 55-5,46111,4603932
SANBORN REGIONAL SAU OFFICE,New Hampshire,Sanborn Regional SAU Office,33015,3399968
SANBORN REGIONAL SCHOOL DISTRICT,New Hampshire,Sanborn Regional School District,33015,3306080
SAND CREEK COMMUNITY SCHOOLS,Michigan,Sand Creek Community Schools,26091,2630780
SAND SPRINGS,Oklahoma,SAND SPRINGS,40143,4026880
SAND SPRINGS ELEM,Montana,Sand Springs Elem,30033,3012060
SANDERS,Montana,Sanders,30089,3000073
SANDERS UNIFIED DISTRICT (4156),Arizona,Sanders Unified District (4156),04001,0406740
SANDGATE SCHOOL DISTRICT,Vermont,Sandgate School District,50003,5007170
SANDHILLS PUBLIC SCHOOLS,Nebraska,SANDHILLS PUBLIC SCHOOLS,31009,3176380
SANDHILLS THEATRE ARTS RENAISS,North Carolina,Sandhills Theatre Arts Renaiss,37125,3700091
SANDOVAL ACADEMY OF BILINGUAL EDUCATION,NEW MEXICO,SANDOVAL ACADEMY OF BILINGUAL EDUCATION,35043,3500172
SANDOVAL CUSD 501,Illinois,Sandoval CUSD 501,17121,1735310
SANDPOINT CHARTER SCHOOL INC.,Idaho,SANDPOINT CHARTER SCHOOL INC.,16017,1600165
SANDRIDGE SD 172,Illinois,Sandridge SD 172,17031,1735340
SANDS CISD,Texas,SANDS CISD,48115,4839120
SANDUSKY CITY,Ohio,Sandusky City,39043,3904474
SANDUSKY COMMUNITY SCHOOL DISTRICT,Michigan,Sandusky Community School District,26151,2630840
SANDWICH,Massachusetts,Sandwich,25001,2510470
SANDWICH CUSD 430,Illinois,Sandwich CUSD 430,17037,1735370
SANDY CREEK CENTRAL SCHOOL DISTRICT,New York,SANDY CREEK CENTRAL SCHOOL DISTRICT,36075,3625650
SANDY VALLEY LOCAL,Ohio,Sandy Valley Local,39157,3904994
SANDYSTON-WALPACK CONSOLIDATED SCHOOL DISTRICT,New Jersey,Sandyston-Walpack Consolidated School District,34037,3414610
SANFORD PUBLIC SCHOOLS,Maine,Sanford Public Schools,23031,2310500
SANFORD SCHOOL DISTRICT NO. 6 IN THE COUNTY OF CONEJOS AND,Colorado,Sanford School District No. 6 in the county of Conejos and,08021,0806390
SANFORD-FRITCH ISD,Texas,SANFORD-FRITCH ISD,48233,4839150
SANGAMON AREA SPEC ED DIST,Illinois,Sangamon Area Spec Ed Dist,17167,1700116
SANGAMON VALLEY CUSD 9,Illinois,Sangamon Valley CUSD 9,17115,1700324
SANGER ISD,Texas,SANGER ISD,48121,4839180
SANGER UNIFIED,California,Sanger Unified,06019,0635250
SANGRE DE CRISTO SCHOOL DISTRICT NO. RE-22J,Colorado,Sangre de Cristo School District No. Re-22J,08003,0806420
SANILAC ISD,Michigan,Sanilac ISD,26151,2680965
SANKOFA CHARTER,Oklahoma,SANKOFA MIDDLE SCHL (CHARTER),40143,4000772
SANKOFA FREEDOM ACADEMY CS,Pennsylvania,Sankofa Freedom Academy CS,42101,4200816
SANTA ANA UNIFIED,California,Santa Ana Unified,06059,0635310
SANTA ANNA ISD,Texas,SANTA ANNA ISD,48083,4839210
SANTA BARBARA COUNTY OFFICE OF EDUCATION,California,Santa Barbara County Office of Education,06083,0691034
SANTA BARBARA COUNTY ROP,California,Santa Barbara County ROP,06083,0600133
SANTA BARBARA COUNTY SELPA JPA,California,Santa Barbara County Selpa JPA,06083,0601404
SANTA BARBARA UNIFIED,California,Santa Barbara Unified,06083,0601414
SANTA CLARA COUNTY OFFICE OF EDUCATION,California,Santa Clara County Office of Education,06085,0691035
SANTA CLARA COUNTY ROP,California,Santa Clara County ROP,06085,0600137
SANTA CLARA ELEMENTARY,California,Santa Clara Elementary,06111,0635490
SANTA CLARA UNIFIED,California,Santa Clara Unified,06085,0635430
SANTA CLARITA VALLEY INTERNATIONAL DISTRICT,CALIFORNIA,Santa Clarita Valley International District,06037,0602137
SANTA CLARITA VLLY SCH FOOD SVS AGENCY JPA,California,Santa Clarita Vlly Sch Food Svs Agency JPA,06037,0601361
SANTA CRUZ CITY ELEMENTARY,California,Santa Cruz City Elementary,06087,0635590
SANTA CRUZ CITY ELEMENTARY/HIGH,California,Santa Cruz City Elementary/High,06087,0601327
SANTA CRUZ CITY HIGH,California,Santa Cruz City High,06087,0635600
SANTA CRUZ COUNTY CAREER ADVANCEMENT CHARTER DISTRICT,CALIFORNIA,Santa Cruz County Career Advancement Charter District,06087,0602028
SANTA CRUZ COUNTY OFFICE OF EDUCATION,California,Santa Cruz County Office of Education,06087,0691036
SANTA CRUZ COUNTY REGIONAL SCHOOL DISTRICT (85848),Arizona,Santa Cruz County Regional School District (85848),04023,0400434
SANTA CRUZ COUNTY ROP,California,Santa Cruz County ROP,06087,0600143
SANTA CRUZ COUNTY SHERIFF'S OFFICE (79473),Arizona,Santa Cruz County Sheriff's Office (79473),04023,0400777
SANTA CRUZ ELEMENTARY DISTRICT (4459),Arizona,Santa Cruz Elementary District (4459),04023,0407500
SANTA CRUZ VALLEY OPPORTUNITIES IN EDUCATION INC. (79066),Arizona,Santa Cruz Valley Opportunities in Education Inc. (79066),04023,0400264
SANTA CRUZ VALLEY UNIFIED DISTRICT (4458),Arizona,Santa Cruz Valley Unified District (4458),04023,0407520
SANTA CRUZ VALLEY UNION HIGH SCHOOL DISTRICT (4454),Arizona,Santa Cruz Valley Union High School District (4454),04021,0407530
SANTA FE,New Mexico,SANTA FE PUBLIC SCHOOLS,35049,3502370
SANTA FE ISD,Texas,SANTA FE ISD,48167,4839270
SANTA FE R-X,Missouri,SANTA FE R-X,29107,2903000
SANTA FE SOUTH (CHARTER),OKLAHOMA,SANTA FE SOUTH CHARTER SCHOOL,40109,4000796
SANTA FE TRAIL,Kansas,Santa Fe Trail,20139,2010410
SANTA FE TRAIL BOCES,Colorado,Santa Fe Trail BOCES,08089,0800014
SANTA FE TRAIL BOCES AU,Colorado,Santa Fe Trail BOCES AU,08089,0800271
SANTA GERTRUDIS ISD,Texas,SANTA GERTRUDIS ISD,48273,4839300
SANTA MARIA ISD,Texas,SANTA MARIA ISD,48061,4839330
SANTA MARIA JOINT UNION HIGH,California,Santa Maria Joint Union High,06083,0635670
SANTA MARIA-BONITA,California,Santa Maria-Bonita,06083,0605580
SANTA MONICA BOULEVARD COMMUNITY CHARTER DISTRICT,CALIFORNIA,Santa Monica Boulevard Community Charter District,06037,0601594
SANTA MONICA-MALIBU UNIFIED,California,Santa Monica-Malibu Unified,06037,0635700
SANTA PAULA UNIFIED,California,Santa Paula Unified,06111,0601421
SANTA RITA UNION ELEMENTARY,California,Santa Rita Union Elementary,06053,0635790
SANTA ROSA,Florida,SANTA ROSA,12113,1201650
SANTA ROSA,New Mexico,SANTA ROSA CONSOLIDATED SCHOOLS,35019,3502400
SANTA ROSA ACADEMY DISTRICT,CALIFORNIA,Santa Rosa Academy District,06065,0602101
SANTA ROSA CITY SCHOOLS,California,Santa Rosa City Schools,06097,0601329
SANTA ROSA ELEMENTARY,California,Santa Rosa Elementary,06097,0635810
SANTA ROSA HIGH,California,Santa Rosa High,06097,0635830
SANTA ROSA ISD,Texas,SANTA ROSA ISD,48061,4839360
SANTA YNEZ VALLEY CHARTER DISTRICT,CALIFORNIA,Santa Ynez Valley Charter District,06083,0602197
SANTA YNEZ VALLEY UNION HIGH,California,Santa Ynez Valley Union High,06083,0635850
SANTEE,California,Santee,06073,0635880
SANTIAGO MIDDLE DISTRICT,CALIFORNIA,Santiago Middle District,06059,0601894
SANTIAM CANYON SD 129J,Oregon,Santiam Canyon SD 129J,41043,4108100
SANTO ISD,Texas,SANTO ISD,48363,4839390
SAPULPA,Oklahoma,SAPULPA,40037,4026910
SARAH TOWLES REED HIGH SCHOOL,LOUISIANA,Einstein Charter High School at Sarah Towles Reed,22071,2200295
SARALAND CITY,Alabama,Saraland City,01097,0100185
SARANAC CENTRAL SCHOOL DISTRICT,New York,SARANAC CENTRAL SCHOOL DISTRICT,36019,3600009
SARANAC COMMUNITY SCHOOLS,Michigan,Saranac Community Schools,26067,2630930
SARANAC LAKE CENTRAL SCHOOL DISTRICT,New York,SARANAC LAKE CENTRAL SCHOOL DISTRICT,36033,3625740
SARASOTA,Florida,SARASOTA,12115,1201680
SARATOGA CCSD 60C,Illinois,Saratoga CCSD 60C,17063,1735400
SARATOGA SPRINGS CITY SD,New York,SARATOGA SPRINGS CITY SD,36091,3625770
SARATOGA UNION ELEMENTARY,California,Saratoga Union Elementary,06085,0635910
SARCOXIE R-II,Missouri,SARCOXIE R-II,29097,2927540
SARGENT CENTRAL 6,North Dakota,SARGENT CENTRAL 6,38081,3816430
SARGENT PUBLIC SCHOOLS,Nebraska,SARGENT PUBLIC SCHOOLS,31041,3176410
SARGENT SCHOOL DISTRICT NO. RE-33J,Colorado,Sargent School District No. Re-33J,08105,0806450
SARTELL-ST. STEPHEN SCHOOL DISTRICT,Minnesota,SARTELL-ST. STEPHEN SCHOOL DISTRICT,27145,2732820
SASAKWA,Oklahoma,SASAKWA,40133,4026940
SATANTA,Kansas,Satanta,20081,2011400
SATORI INC. (85454),Arizona,Satori Inc. (85454),04019,0400409
SATSOP SCHOOL DISTRICT,Washington,Satsop School District,53027,5307680
SATSUMA CITY,Alabama,Satsuma City,01097,0100189
SAU #28 OFFICE,New Hampshire,SAU #28 Office,33011,3399928
SAU-TECH CAREER CENTER,Arkansas,SAU-TECH CAREER CENTER,05013,0500002
SAUCELITO ELEMENTARY,California,Saucelito Elementary,06107,0635940
SAUCON VALLEY SD,Pennsylvania,Saucon Valley SD,42095,4211730
SAUGATUCK PUBLIC SCHOOLS,Michigan,Saugatuck Public Schools,26005,2630960
SAUGERTIES CENTRAL SCHOOL DISTRICT,New York,SAUGERTIES CENTRAL SCHOOL DISTRICT,36111,3625800
SAUGUS,Massachusetts,Saugus,25009,2510500
SAUGUS UNION,California,Saugus Union,06037,0635970
SAUK CENTRE PUBLIC SCHOOL DISTRICT,Minnesota,SAUK CENTRE PUBLIC SCHOOL DISTRICT,27145,2732850
SAUK PRAIRIE SCHOOL DISTRICT,Wisconsin,Sauk Prairie School District,55111,5513410
SAUK RAPIDS-RICE PUBLIC SCHOOLS,Minnesota,SAUK RAPIDS-RICE PUBLIC SCHOOLS,27009,2732880
SAULT STE. MARIE AREA SCHOOLS,Michigan,Sault Ste. Marie Area Schools,26033,2630990
SAUNEMIN CCSD 438,Illinois,Saunemin CCSD 438,17105,1700065
SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,New York,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,36065,3600002
SAUSALITO MARIN CITY,California,Sausalito Marin City,06041,0636000
SAVA - SACRAMENTO ACAD AND VOCATIONAL ACAD - EGUSD DIST,CALIFORNIA,SAVA- Sacramento ACAD and Vocational Academy- EGUSD District,06067,0601796
SAVA - SACRAMENTO ACAD AND VOCATIONAL ACAD - SCUSD DIST,CALIFORNIA,SAVA- Sacramento ACAD and Vocational Academy- SCUSD District,06067,0602348
SAVA - SACRAMENTO ACADEMIC AND VOCATIONAL ACADEMY DISTRICT,CALIFORNIA,SAVA - Sacramento Academic and Vocational Academy District,06067,0602285
SAVAGE ELEM,Montana,Savage Elem,30083,3023520
SAVAGE H S,Montana,Savage H S,30083,3023550
SAVANNA,Oklahoma,SAVANNA,40121,4027000
SAVANNA ELEMENTARY,California,Savanna Elementary,06059,0636030
SAVANNAH R-III,Missouri,SAVANNAH R-III,29003,2927570
SAVANNAH-CHATHAM COUNTY,Georgia,Savannah-Chatham County,13051,1301020
SAVANT PREPARATORY ACADEMY OF BUSINESS DISTRICT,CALIFORNIA,Savant Preparatory Academy of Business District,06071,0602301
SAVOY,Massachusetts,Savoy,25003,2510530
SAVOY ISD,Texas,SAVOY ISD,48147,4839450
SAWYER 16,North Dakota,SAWYER 16,38101,3816470
SAYDEL COMM SCHOOL DISTRICT,Iowa,Saydel Comm School District,19153,1925320
SAYRE,Oklahoma,SAYRE,40009,4027060
SAYRE AREA SD,Pennsylvania,Sayre Area SD,42015,4220850
SAYREVILLE SCHOOL DISTRICT,New Jersey,Sayreville School District,34023,3414640
SAYVILLE UNION FREE SCHOOL DISTRICT,New York,SAYVILLE UNION FREE SCHOOL DISTRICT,36103,3625920
SC GOVERNOR'S SCHOOL FOR AGRICULTURE AT JOHN DE LA HOWE SCHO,South Carolina,SC Governor's School for Agriculture at John de la Howe Scho,45065,4503903
SC JENSEN CORPORATION INC. DBA INTELLI-SCHOOL (79951),Arizona,SC Jensen Corporation Inc. dba Intelli-School (79951),04013,0400363
SC PUBLIC CHARTER SCHOOL DISTRICT,South Carolina,SC Public Charter School District,45079,4503901
SCALE LEADERSHIP ACADEMY - EAST DISTRICT,CALIFORNIA,Scale Leadership Academy - East District,06071,0601897
SCALES MOUND CUSD 211,Illinois,Scales Mound CUSD 211,17085,1735610
SCAPPOOSE SD 1J,Oregon,Scappoose SD 1J,41009,4110980
SCARBOROUGH PUBLIC SCHOOLS,Maine,Scarborough Public Schools,23005,2310530
SCARSDALE UNION FREE SCHOOL DISTRICT,New York,SCARSDALE UNION FREE SCHOOL DISTRICT,36119,3625950
SCHALLER-CRESTLAND COMM SCHOOL DISTRICT,Iowa,Schaller-Crestland Comm School District,19161,1925380
SCHALMONT CENTRAL SCHOOL DISTRICT,New York,SCHALMONT CENTRAL SCHOOL DISTRICT,36093,3625980
SCHAUMBURG CCSD 54,Illinois,Schaumburg CCSD 54,17031,1734740
SCHENECTADY CITY SCHOOL DISTRICT,New York,SCHENECTADY CITY SCHOOL DISTRICT,36093,3626010
SCHENEVUS CENTRAL SCHOOL DISTRICT,New York,SCHENEVUS CENTRAL SCHOOL DISTRICT,36077,3603060
SCHERTZ-CIBOLO-U CITY ISD,Texas,SCHERTZ-CIBOLO-U CITY ISD,48187,4839480
SCHILLER PARK SD 81,Illinois,Schiller Park SD 81,17031,1735640
SCHL ARTS/SCI (CHARTER),Oklahoma,SCHL ARTS/SCI (CHARTER),40143,4000774
SCHLEICHER ISD,Texas,SCHLEICHER ISD,48413,4839510
SCHLESWIG COMM SCHOOL DISTRICT,Iowa,Schleswig Comm School District,19047,1925410
SCHLEY COUNTY,Georgia,Schley County,13249,1304470
SCHNEE LEARNING CENTER,Ohio,Schnee Learning Center,39153,3900385
SCHODACK CENTRAL SCHOOL DISTRICT,New York,SCHODACK CENTRAL SCHOOL DISTRICT,36083,3626070
SCHOHARIE CENTRAL SCHOOL DISTRICT,New York,SCHOHARIE CENTRAL SCHOOL DISTRICT,36095,3626100
SCHOLAR ACADEMY,Utah,Scholar Academy,49045,4900170
SCHOLARMADE ACHIEVEMENT PLACE OF ARKANSAS,ARKANSAS,SCHOLARMADE ACHIEVEMENT PLACE OF ARKANSAS,05119,0500421
SCHOLARS ACADEMY SUNNYSLOPE (1000377),ARIZONA,Scholars Academy Sunnyslope (1000377),04013,0401002
SCHOLARSHIP PREP - OCEANSIDE DISTRICT,CALIFORNIA,Scholarship Prep - Oceanside District,06073,0601600
SCHOLARSHIP PREP - ORANGE COUNTY DISTRICT,CALIFORNIA,Scholarship Prep District,06059,0601754
SCHOLARSHIP PREP - SOUTH BAY DISTRICT,CALIFORNIA,Scholarship Prep - South Bay District,06037,0602493
SCHOOL ADMINISTRATIVE UNIT #70,Vermont,School Administrative Unit #70,33009,5099955
SCHOOL ASSN FOR SPECIAL EDUC,ILLINOIS,School Assn For Special Educ,17043,1701425
SCHOOL CITY OF EAST CHICAGO,Indiana,School City of East Chicago,18089,1802880
SCHOOL CITY OF HAMMOND,Indiana,School City of Hammond,18089,1804320
SCHOOL CITY OF HOBART,Indiana,School City of Hobart,18089,1804590
SCHOOL CITY OF MISHAWAKA,Indiana,School City of Mishawaka,18141,1806840
SCHOOL CITY OF WHITING,Indiana,School City of Whiting,18089,1813200
SCHOOL DISTRICT 27J,Colorado,School District 27J,08001,0802580
SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO,Colorado,School District N. 14 in the county of Adams & State of Colo,08001,0801950
SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Colorado,School District No. 1 in the county of Denver and State of C,08031,0803360
SCHOOL DISTRICT NO. 3 IN THE COUNTY OF EL PASO AND STATE OF,Colorado,School District No. 3 in the county of El Paso and State of,08041,0806480
SCHOOL DISTRICT NO. C-2 IN THE COUNTY OF ELBERT AND STATE OF,Colorado,School District No. C-2 in the county of Elbert and State of,08039,0805010
SCHOOL DISTRICT NO. R-4 IN THE COUNTY OF KIT CARSON AND STAT,Colorado,School District No. R-4 in the county of Kit Carson and Stat,08063,0806780
SCHOOL DISTRICT NO. RE-1 VALLEY,Colorado,School District No. Re-1 Valley,08075,0806690
SCHOOL DISTRICT NO. RE-10 IN THE COUNTY OF WELD AND STATE O,Colorado,School District No. Re-10 in the county of Weld and State o,08123,0802550
SCHOOL DISTRICT NO. RE-11 IN THE COUNTY OF WELD AND STATE OF,Colorado,School District No. Re-11 in the county of Weld and State of,08123,0806720
SCHOOL DISTRICT NO. RE-12 IN THE COUNTY OF WELD AND STATE OF,Colorado,School District No. Re-12 in the county of Weld and State of,08123,0804440
SCHOOL DISTRICT NO. RE-2 BRUSH,Colorado,School District No. Re-2 Brush,08087,0802610
SCHOOL DISTRICT NO. RE-20 WELDON VALLEY,Colorado,School District No. Re-20 Weldon Valley,08087,0807140
SCHOOL DISTRICT NO. RE-3 FORT MORGAN,Colorado,School District No. Re-3 Fort Morgan,08087,0804050
SCHOOL DISTRICT NO. RE-3 FRENCHMAN,Colorado,School District No. Re-3 Frenchman,08075,0803930
SCHOOL DISTRICT NO. RE-4 BUFFALO,Colorado,School District No. Re-4 Buffalo,08075,0805640
SCHOOL DISTRICT NO. RE-5 PLATEAU,Colorado,School District No. Re-5 Plateau,08075,0806030
SCHOOL DISTRICT NO. RE-50 WIGGINS,Colorado,School District No. Re-50 Wiggins,08087,0807290
SCHOOL DISTRICT OF THE CHATHAMS,New Jersey,School District of the Chathams,34027,3400004
SCHOOL FOR BLIND,Kansas,School for Blind,20209,2000018
SCHOOL FOR DEAF,Kansas,School for Deaf,20091,2000019
SCHOOL FOR ENTREPRENEURSHIP AND TECHNOLOGY DISTRICT,CALIFORNIA,School for Entrepreneurship and Technology District,06073,0602110
SCHOOL IN THE SQUARE PUBLIC CHARTER SCHOOL,NEW YORK,SCHOOL IN THE SQUARE PUBLIC CHARTER SCHOOL,36061,3601139
SCHOOL LANE CS,Pennsylvania,School Lane CS,42017,4200030
SCHOOL OF ARTS AND ENTERPRISE DISTRICT,CALIFORNIA,School of Arts and Enterprise District,06037,0602180
SCHOOL OF DREAMS ACADEMY,New Mexico,SCHOOL OF DREAMS ACADEMY,35061,3500112
SCHOOL OF LEADERSHIP PUBLIC SERVICE,MINNESOTA,School of Leadership Public Service,27123,2700476
SCHOOL OF SCIENCE AND TECHNOLOGY,Texas,SCHOOL OF SCIENCE AND TECHNOLOGY,48029,4800258
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,Texas,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,48029,4801400
SCHOOL OF THE ARTS FOR BOYS ACADEMY (SAB,NORTH CAROLINA,School of the Arts for Boys Academy (SAB,37037,3700473
SCHOOL OF THE OSAGE,Missouri,SCHOOL OF THE OSAGE,29131,2927630
SCHOOL OF UNLIMITED LEARNING DISTRICT,CALIFORNIA,School of Unlimited Learning District,06019,0602164
SCHOOL PROJECT UTILITY RATE REDUCTION,California,School Project Utility Rate Reduction,06001,0601365
SCHOOL TOWN OF HIGHLAND,Indiana,School Town of Highland,18089,1804560
SCHOOL TOWN OF MUNSTER,Indiana,School Town of Munster,18089,1807350
SCHOOL TOWN OF SPEEDWAY,Indiana,School Town of Speedway,18097,1810920
SCHOOLCRAFT COMMUNITY SCHOOLS,Michigan,Schoolcraft Community Schools,26077,2631020
SCHOOLCRAFT LEARNING COMMUNITY CHTR,Minnesota,SCHOOLCRAFT LEARNING COMMUNITY CHTR,27007,2700225
SCHROON LAKE CENTRAL SCHOOL DISTRICT,New York,SCHROON LAKE CENTRAL SCHOOL DISTRICT,36031,3626130
SCHULENBURG ISD,Texas,SCHULENBURG ISD,48149,4839540
SCHULTER,Oklahoma,SCHULTER,40111,4027090
SCHUYLER CO. R-I,Missouri,SCHUYLER CO. R-I,29197,2927660
SCHUYLER COMMUNITY SCHOOLS,Nebraska,SCHUYLER COMMUNITY SCHOOLS,31037,3176450
SCHUYLER-INDUSTRY CUSD 5,Illinois,Schuyler-Industry CUSD 5,17169,1700332
SCHUYLER-STEUBEN-CHEMUNG-TIOGA-ALLEGANY BOCES,New York,SCHUYLER-STEUBEN-CHEMUNG-TIOGA-ALLEGANY BOCES,36101,3680780
SCHUYLERVILLE CENTRAL SCHOOL DISTRICT,New York,SCHUYLERVILLE CENTRAL SCHOOL DISTRICT,36091,3626160
SCHUYLKILL HAVEN AREA SD,Pennsylvania,Schuylkill Haven Area SD,42107,4220910
SCHUYLKILL IU 29,Pennsylvania,Schuylkill IU 29,42107,4289390
SCHUYLKILL TECHNOLOGY CENTERS,Pennsylvania,Schuylkill Technology Centers,42107,4280620
SCHUYLKILL VALLEY SD,Pennsylvania,Schuylkill Valley SD,42011,4220970
