"","v133_rawvalue","statecode","countycode","v133_numerator","v133_denominator"
"458",7.2,"13","123",0.0708007209226777,0.164
"459",5.2,"13","125",0.277291836314506,0.156
"460",7.1,"13","127",0.123620511087666,0.142
"461",7.1,"13","129",0.104766822893056,0.153
"462",7.8,"13","131",0.0138100838170388,0.161
"463",7.8,"13","133",0.100153643273563,0.121
"464",8.2,"13","135",0.0970833207082954,0.107
"465",7.3,"13","137",0.0786648056693815,0.154
"466",7.7,"13","139",0.073750798800663,0.14
"467",4.7,"13","141",0.297275944620652,0.17
"468",7.5,"13","143",0.061752012676865,0.151
"469",9,"13","145",0.00335473164158498,0.111
"470",NA,"13","147",NA,0.138
"471",7.4,"13","149",0.0111955218356097,0.18
"472",8.3,"13","151",0.123556641502979,0.088
"473",7.9,"13","153",0.0999531199921991,0.115
"474",7.8,"13","155",0.0282334143128363,0.157
"475",7.9,"13","157",0.0935413584793182,0.119
"476",8.4,"13","159",0.0113337914998391,0.136
"477",5.5,"13","161",0.180262360855089,0.19
"478",8.3,"13","163",0.00323983242749324,0.143
"479",7.3,"13","165",0.00575864770735083,0.188
"480",6.7,"13","167",0.110502314703952,0.168
"481",7.4,"13","169",0.12357603668201,0.13
"482",7.7,"13","171",0.0911725680188912,0.128
"483",6.9,"13","173",0.00236588947552147,0.21
"484",6.7,"13","175",0.0971161428812325,0.174
"485",8.4,"13","177",0.0680769373730035,0.11
"486",6.6,"13","179",0.172599279723121,0.14
"487",7.9,"13","181",0.0188600029114315,0.157
"488",7.9,"13","183",0.00260087522223787,0.164
"489",7.3,"13","185",0.0826775679168169,0.152
"490",8.6,"13","187",0.00257422864593493,0.131
"491",8.5,"13","189",0.00168495448725808,0.136
"492",7.3,"13","191",0.0593098037511891,0.164
"493",7.7,"13","193",0.00222283717637104,0.17
"494",7.5,"13","195",0.0150440091823395,0.177
"495",8.4,"13","197",2.6152339352504e-05,0.141
"496",7.5,"13","199",0.0121891568068638,0.174
"497",7.6,"13","201",0.0012814916022293,0.175
"498",6.5,"13","205",0.0794409392289522,0.192
"499",8.4,"13","207",0.0142941625559733,0.133
"500",7.8,"13","209",0.040246121707495,0.149
"501",7.8,"13","211",0.109814315760788,0.115
"502",7.4,"13","213",0.065685937588087,0.155
"503",7,"13","215",0.103872058160409,0.157
"504",7.4,"13","217",0.14365566532027,0.117
"505",9,"13","219",0.0340279856280913,0.096
"506",8.5,"13","221",0.0250470206884168,0.127
"507",7.9,"13","223",0.135176186469441,0.099
"508",7.1,"13","225",0.10543142366099,0.15
"509",7.5,"13","227",0.0571792334982053,0.153
"510",7.9,"13","229",0.03406181128324,0.146
"511",9,"13","231",5.17052975541889e-05,0.114
"512",6.6,"13","233",0.121538771325923,0.167
"513",8,"13","235",0.0161408821908905,0.153
"514",7.2,"13","237",0.0950338805623949,0.153
"515",8.1,"13","239",0.0138527126051741,0.148
"516",7.9,"13","241",0.000880434440047567,0.164
"517",5.6,"13","243",0.184120717202492,0.18
"518",5.9,"13","245",0.210432802204596,0.157
"519",7.9,"13","247",0.13339399135363,0.102
"520",8,"13","249",0.00272476179799521,0.16
"521",7.3,"13","251",0.0975377586862458,0.145
"522",7.1,"13","253",0.0655433181722462,0.169
"523",6.9,"13","255",0.126540762915316,0.149
"524",7.6,"13","257",0.0533685166153818,0.153
"525",6.6,"13","259",0.116502927218643,0.167
"526",7.4,"13","261",0.0521578437697696,0.161
"527",6.7,"13","263",0.160705284813309,0.145
"528",3.2,"13","265",0.47432359748331,0.154
"529",7.2,"13","267",0.0646488896299084,0.164
"530",6.9,"13","269",0.0218949914428514,0.199
"531",4.4,"13","271",0.222092558184685,0.217
"532",7.2,"13","273",0.0267412319203659,0.181
"533",6.7,"13","275",0.124207572206081,0.158
"534",7.5,"13","277",0.0573602238583097,0.153
"535",7,"13","279",0.0527596193000792,0.181
"536",7.8,"13","281",6.3237027747086e-05,0.167
"537",4.9,"13","283",0.193276164693934,0.21
"538",7.7,"13","285",0.0428701068375952,0.154
"539",6.8,"13","287",0.0833690651674584,0.176
"540",8.4,"13","289",0.000315932198425554,0.141
"541",8.1,"13","291",0.016825366356791,0.149
"542",6.9,"13","293",0.0752948548843239,0.174
"543",6.6,"13","295",0.137211225134474,0.16
"544",7.5,"13","297",0.109016597861705,0.13
"545",6.4,"13","299",0.133680741682652,0.17
"546",8,"13","301",0.0124172768938079,0.152
"547",7.1,"13","303",0.129389805970473,0.138
"548",7,"13","305",0.0836127610292538,0.165
"549",7.6,"13","307",0.0111331607882254,0.171
"550",7.4,"13","309",0.0316986203234184,0.173
"551",NA,"13","311",NA,0.148
"552",6.8,"13","313",0.133942942298073,0.153
"553",7.5,"13","315",0.0512341048942073,0.159
"554",7.6,"13","317",0.0680967262145389,0.147
"555",7,"13","319",0.114165000023228,0.151
"556",7.9,"13","321",0.0104001506373575,0.161
"557",7.5,"15","001",0.0809269974623297,0.144
"558",8.3,"15","003",0.0461911873276825,0.123
"559",NA,"15","005",NA,0.153
"560",8.1,"15","007",0.073890132413528,0.121
"561",8.3,"15","009",0.0575954750702419,0.121
"562",8.7,"16","001",0.0623869021840964,0.097
"563",7.4,"16","003",0.0859726661311725,0.145
"564",7.6,"16","005",0.116068186092676,0.124
"565",8.4,"16","007",0.0606215334033842,0.114
"566",7.2,"16","009",0.0924194236927552,0.151
"567",7.8,"16","011",0.115278949510045,0.115
"568",9.2,"16","013",0.0283015431796936,0.093
"569",7.7,"16","015",0.138485928479007,0.107
"570",8.4,"16","017",0.0292587749783994,0.127
"571",7.9,"16","019",0.11404364352977,0.109
