statecode,countycode,v128_denominator,v128_numerator,v128_rawvalue,v128_cilow,v128_cihigh,sourceflag,v128_flag_CT
13,047,66368,34,51.22950819672131,35.47792367492207,71.58810284354372,,
13,049,10189,8,78.5160467170478,24.107202232775215,132.92489120132038,,
13,051,281242,224,79.64670995086082,69.21633542916503,90.07708447255662,,
13,053,10507,6,57.10478728466736,11.411440983582096,102.79813358575262,,
13,055,24088,18,74.72600464961806,44.287366242110295,118.09930366791758,,
13,057,279146,91,32.599428256181355,26.247026107066223,40.02487405033484,,
13,059,124906,57,45.634317006388805,34.5629860558538,59.12455078456025,,
13,061,2538,2,78.80220646178094,-30.41207967893091,188.0164926024928,,
13,063,350916,275,78.3663326836052,69.10402405547683,87.62864131173356,,
13,065,7278,7,96.18026930475406,24.928928693506492,167.43160991600163,,
13,067,772044,373,48.31330856790546,43.410234712655914,53.216382423155004,,
13,069,46643,32,68.60622172673284,46.92660487379577,96.85151486701211,,
13,071,51208,31,60.537416028745504,41.13223710971303,85.92802980637546,,
13,073,175224,79,45.08514815322102,35.6943363692159,56.18954661728743,,
13,075,19135,12,62.71230729030572,32.40436429956737,109.54578023609591,,
13,077,154603,90,58.21361810572886,46.81062342328802,71.55441989476687,,
13,079,10783,8,74.19085597700084,22.779215760896477,125.6024961931052,,
13,081,21063,17,80.71025020177562,47.016695008343014,129.22492909797566,,
13,083,14656,8,54.585152838427945,16.759571748754553,92.41073392810134,,
13,085,25779,14,54.307769890220726,29.69056315722332,91.11920990665107,,
13,087,30312,28,92.37265769332278,61.380960200110614,133.50420936681246,,
13,089,754891,523,69.28152541227806,63.343765023820026,75.21928580073609,,
13,091,16940,22,129.87012987012986,81.38891896239438,196.62493735020803,,
13,093,8142,7,85.97396217145665,22.283559694342955,149.66436464857034,,
13,095,92585,98,105.84867959172652,85.93307455240874,128.99563675880032,,
13,097,164716,90,54.63950071638457,43.93661097349741,67.16122282589818,,
13,099,11215,6,53.49977708426214,10.691039715960507,96.30851445256377,,
13,101,4353,2,45.94532506317482,-17.731646732167853,109.6222968585175,,
13,103,78075,37,47.39032981107909,33.367165631900136,65.32132711102251,,
13,105,18879,16,84.75025160230945,48.44209149659158,137.62909898596828,,
13,107,24912,16,64.22607578676943,36.71075166041074,104.29912330427486,,
13,109,11898,12,100.85728693898135,52.11443191059183,176.17738315832034,,
13,111,17858,14,78.39623698062493,42.85995226957442,131.53556457517962,,
13,113,120987,51,42.15328919635994,31.385892565557256,55.423790470549555,,
13,115,103550,71,68.56591018831482,53.550544717043984,86.48656601361718,,
13,117,297719,77,25.863314064604545,20.410923002712803,32.32470500711169,,
13,119,24007,12,49.985420918898654,25.828196395727147,87.3144709800348,,
13,121,1016210,654,64.35677665049548,59.4243403959837,69.28921290500725,,
13,123,25830,18,69.68641114982579,41.300583741384166,110.13457323859075,,
13,125,2757,1,36.27130939426913,-34.82045701849837,107.36307580703664,,
13,127,78479,56,71.35666866295442,53.90206065651986,92.66256961427256,,
13,129,60198,38,63.12502076480946,44.671021703704696,86.64402292311972,,
13,131,27466,16,58.25384111264836,33.29710352305222,94.60058835491499,,
13,133,15120,17,112.43386243386243,65.4968681852334,180.01750539620775,,
13,135,1110169,507,45.66872250981607,41.69341293290886,49.64403208672328,,
13,137,46928,26,55.404023184452775,36.1917473908889,81.17973082834348,,
13,139,223245,123,55.09641873278236,45.3593802537291,64.83345721183562,,
13,141,5663,4,70.63393960798163,1.4126787921596389,139.85520042380364,,
13,143,32750,25,76.33587786259542,49.40055526054756,112.68681434360417,,
13,145,34211,11,32.153400952909884,16.05086190768127,57.53131598989201,,
13,147,23789,12,50.44348228172685,26.06488338611214,88.11461199788538,,
13,149,11766,13,110.48784633690295,58.83012485979774,188.93758217031174,,
13,151,273415,173,63.27377795658614,53.84497009366231,72.70258581950996,,
13,153,185709,132,71.0789460930811,58.95315489586983,83.20473729029237,,
13,155,8842,13,147.02555982809318,78.28491846871523,251.4181850051897,,
13,157,89677,50,55.75565641134293,41.382922864794615,73.50688210392501,,
13,159,15737,13,82.6078668107009,43.985209957449335,141.2619680889552,,
13,161,16809,18,107.08548991611637,63.46564804806669,169.24124140358134,,
13,163,15534,17,109.43736320329599,63.75129695897572,175.219819852624,,
13,165,7725,5,64.72491909385113,7.991026072497249,121.458812115205,,
13,167,7430,10,134.58950201884252,64.5408976599251,247.51488616443848,,
13,169,28661,9,31.401556121558915,10.885872788807095,51.91723945431073,,
13,171,20219,14,69.2418022651961,37.85513762451456,116.17597864303663,,
13,173,10719,4,37.31691389122119,0.746338277824421,73.88748950461796,,
13,175,52839,45,85.1643672287515,62.11947385119792,113.95662388947332,,
13,177,36975,8,21.636240703177823,6.643090832988417,36.62939057336723,,
13,179,81409,67,82.30048274760776,63.781743695660865,104.51870386295909,,
13,181,6477,6,92.63547938860583,18.511658239076283,166.7593005381354,,
13,183,22327,10,44.78882071035069,21.477980454751798,82.3682359565449,,
13,185,135624,94,69.3092667964372,56.008942664344225,84.8169894184158,,
