statecode,countycode,v149_numerator,v149_denominator,v149_rawvalue,v149_cilow,v149_cihigh,relative_standard_error,v149_sourceflag,v149_flag_CT
10,000,2832,51647,0.05483377543710186,0.04408056214197105,0.06558698873223268,0.10005390418785691,,
10,001,630,10707,0.05884001120762118,0.03727412429830062,0.08040589811694174,0.18699866467289866,,
10,003,1405,31880,0.04407151819322459,0.03125073322466345,0.056892303161785736,0.1484227702802416,,
10,005,797,9060,0.0879690949227373,0.05771407318113944,0.11822411666433516,0.17547339319570623,,
11,000,1767,27618,0.06398001303497719,0.047246889102179154,0.08071313696777523,0.1334371114352749,,
11,001,1767,27618,0.06398001303497719,0.047246889102179154,0.08071313696777523,0.1334371114352749,,
12,000,69975,1009567,0.06931189311853497,0.06619950979179086,0.07242427644527909,0.022910219378867672,,
12,001,628,22050,0.028480725623582767,0.016304855633530527,0.04065659561363501,0.21811869010841994,,
12,003,,,,,,1.1893553586339487,,
12,005,455,7656,0.059430512016718916,0.034740708577476916,0.08412031545596091,0.21195911093388287,,
12,007,,,,,,0.4655744764161901,,
12,009,1933,26347,0.0733669867537101,0.05256321772073485,0.09417075578668535,0.14467226123921761,,
12,011,5768,87170,0.06616955374555467,0.05580971173518336,0.07652939575592597,0.07988014697947037,,
12,013,,,,,,0.43135290074354693,,
12,015,702,5799,0.12105535437144335,0.05899112439117045,0.18311958435171627,0.26157804934560336,,
12,017,577,5362,0.10760910108168593,0.06088568105427476,0.15433252110909712,0.22152847079101856,,
12,019,559,11471,0.048731583994420714,0.029480899755021234,0.0679822682338202,0.20154850033784036,,
12,021,1014,14749,0.06875042375754288,0.04410336638164393,0.09339748113344183,0.1829083893033921,,
12,023,490,3200,0.153125,0.0892127530779184,0.21703724692208162,0.21295209303484086,,
12,027,,,,,,1.5791663184720808,,
12,029,,,,,,1.6978185769302685,,
12,031,4769,48269,0.09880047235285587,0.080327268442049,0.11727367626366274,0.09539533376384222,,
12,033,1645,18336,0.08971422338568935,0.06552451945975059,0.11390392731162811,0.13756665566218385,,
12,035,201,4693,0.042829746430854465,0.014588268745681449,0.07107122411602748,0.3364231261460985,,
12,037,,,,,,4.367416915842385,,
12,039,,,,,,0.3624810487401302,,
12,041,,,,,,0.9712714599790846,,
12,043,,,,,,0.6624840636225163,,
12,045,,,,,,0.9248493457803283,,
12,047,,,,,,1.6471597817823842,,
12,049,,,,,,0.39682451547137326,,
