statecode,countycode,v058_numerator,v058_denominator,v058_rawvalue,v058_cilow,v058_cihigh,v058_flag_CT
16,019,18832,123964,0.1519150721177116,,,
16,021,12056,12056,1,,,
16,023,2574,2574,1,,,
16,025,1077,1077,1,,,
16,027,43279,231105,0.18726985569329957,,,
16,029,7027,7027,1,,,
16,031,12405,24655,0.5031433786250253,,,
16,033,790,790,1,,,
16,035,8734,8734,1,,,
16,037,4275,4275,1,,,
16,039,10867,28666,0.3790902114002651,,,
16,041,14194,14194,1,,,
16,043,13388,13388,1,,,
16,045,8950,19123,0.46802279976991057,,,
16,047,15598,15598,1,,,
16,049,16541,16541,1,,,
16,051,20608,30891,0.667119873102198,,,
16,053,11832,24237,0.4881792301027355,,,
16,055,40290,171362,0.23511630349785834,,,
16,057,13603,39517,0.3442315965280765,,,
16,059,7974,7974,1,,,
16,061,3533,3533,1,,,
16,063,5127,5127,1,,,
16,065,11583,52913,0.21890650690756525,,,
16,067,9588,21613,0.44362189423032433,,,
16,069,7959,42090,0.18909479686386316,,,
16,071,4564,4564,1,,,
16,073,11913,11913,1,,,
16,075,10470,25386,0.4124320491609549,,,
16,077,7878,7878,1,,,
16,079,13169,13169,1,,,
16,081,11630,11630,1,,,
16,083,31238,90046,0.3469115785265309,,,
16,085,8051,11746,0.6854248254725013,,,
16,087,4996,10500,0.4758095238095238,,,
17,000,1674918,12812508,0.1307252256935176,,,
17,001,22310,65737,0.33938269163484797,,,
17,003,5080,5240,0.9694656488549618,,,
17,005,9960,16725,0.5955156950672645,,,
17,007,15712,53448,0.2939679688669361,,,
17,009,6244,6244,1,,,
17,011,18279,33244,0.5498435807965347,,,
17,013,4437,4437,1,,,
17,015,15702,15702,1,,,
17,017,6780,13042,0.5198589173439656,,,
17,019,32837,205865,0.1595074441988682,,,
17,021,17250,34032,0.5068758815232722,,,
17,023,15455,15455,1,,,
17,025,8495,13288,0.6392986152919927,,,
17,027,29599,36899,0.8021626602346947,,,
17,029,12337,46863,0.26325672705545955,,,
17,031,2890,5275541,5.478111154855966e-4,,,
17,033,12545,18679,0.6716098292199797,,,
17,035,10450,10450,1,,,
17,037,21848,100420,0.21756622186815375,,,
17,039,8193,15516,0.5280355761794276,,,
17,041,14798,19740,0.749645390070922,,,
17,043,1752,932877,0.001878061094871028,,,
17,045,8550,16866,0.5069370330843116,,,
17,047,6245,6245,1,,,
17,049,20678,34668,0.5964578285450559,,,
17,051,13378,21488,0.6225800446760983,,,
17,053,9006,13534,0.6654352002364415,,,
17,055,22378,37804,0.5919479420167179,,,
17,057,20432,33609,0.6079323990597757,,,
17,059,4946,4946,1,,,
17,061,11985,11985,1,,,
17,063,13148,52533,0.25028077589324804,,,
17,065,7993,7993,1,,,
17,067,14806,17620,0.8402951191827469,,,
17,069,3649,3649,1,,,
17,071,6353,6387,0.9946766870205104,,,
17,073,24544,49284,0.49801152503855206,,,
17,075,22406,27077,0.8274919673523655,,,
17,077,21692,52974,0.40948389776116584,,,
17,079,9287,9287,1,,,
17,081,21825,37113,0.5880688707460997,,,
17,083,12781,21512,0.594133506879881,,,
17,085,19477,22035,0.8839119582482414,,,
17,087,13308,13308,1,,,
17,089,20777,516522,0.04022481133427037,,,
17,091,30535,107502,0.28404122713996016,,,
17,093,14994,131869,0.11370375145030295,,,
17,095,16120,49967,0.3226129245301899,,,
17,097,10110,714342,0.01415288475268149,,,
17,099,34651,109658,0.3159915373251382,,,
17,101,10648,15280,0.6968586387434555,,,
17,103,18158,34145,0.5317908917850344,,,
17,105,23135,35815,0.6459583973195588,,,
17,107,13997,27987,0.5001250580626719,,,
17,109,11582,27238,0.42521477347822895,,,
17,111,43710,310229,0.14089591882125785,,,
17,113,36854,170954,0.21557845970261005,,,
17,115,17711,103998,0.17030135194907595,,,
17,117,29462,44967,0.6551915849400671,,,
17,119,43705,265859,0.16439165121361324,,,
17,121,18032,37729,0.47793474515624584,,,
17,123,11742,11742,1,,,
17,125,13086,13086,1,,,
17,127,7493,14169,0.5288305455572023,,,
17,129,12297,12297,1,,,
17,131,15699,15699,1,,,
17,133,14509,34962,0.41499342142898005,,,
17,135,15058,28288,0.532310520361991,,,
17,137,11912,32915,0.3619018684490354,,,
17,139,10112,14526,0.6961310753132315,,,
17,141,35150,51788,0.6787286630107361,,,
17,143,30807,181830,0.16942748721333115,,,
17,145,15012,20945,0.7167343041298639,,,
17,147,10688,16673,0.641036406165657,,,
17,149,14739,14739,1,,,
17,151,3763,3763,1,,,
17,153,5193,5193,1,,,
