statecode,countycode,v128_race_white,v128_race_white_cilow,v128_race_white_cihigh,sourceflag.x,v128_race_black,v128_race_black_cilow,v128_race_black_cihigh,sourceflag.y,v128_race_aian,v128_race_aian_cilow,v128_race_aian_cihigh,sourceflag.x.x,v128_race_asian,v128_race_asian_cilow,v128_race_asian_cihigh,sourceflag.y.y,v128_race_nhopi,v128_race_nhopi_cilow,v128_race_nhopi_cihigh,sourceflag.x.x.x,v128_race_tom,v128_race_tom_cilow,v128_race_tom_cihigh,sourceflag.y.y.y,v128_race_hispanic,v128_race_hispanic_cilow,v128_race_hispanic_cihigh,sourceflag,v128_race_flag_CT
05,093,69.50880444856348,38.903550198254464,114.64420237018462,,120.41598248494799,75.46405512988292,182.31124459291317,,,,,,,,,,,,,,,,,,,,,,
05,095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,103,,,,,169.81532583315644,97.06413132712294,275.7694501969959,,,,,,,,,,,,,,,,,,,,,,
05,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,107,,,,,123.30456226880395,69.01262747869555,203.37212389219764,,,,,,,,,,,,,,,,,,,,,,
05,109,137.91374122367102,68.84604271861633,246.76577875253204,,,,,,,,,,,,,,,,,,,,,,,,,,
05,111,114.03127715030408,70.58715781970126,174.30892015064828,,,,,,,,,,,,,,,,,,,,,,,,,,
05,113,78.21666014861165,40.41568966707219,136.62876449078968,,,,,,,,,,,,,,,,,,,,,,,,,,
05,115,63.23898587662648,43.53080806532747,88.8110481750173,,,,,,,,,,,,,,,,,,,,,,,,,,
05,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,119,63.345012570025936,51.30966355549912,77.35510224236629,,143.2978741338908,125.70949864376385,160.88624962401772,,,,,,,,,,,,,,57.74005427565101,27.68860035875301,106.18601560146531,,61.6482088993593,40.96478710640377,89.09882635740152,,
05,121,88.59488512196563,49.58588466589873,146.12378992077163,,,,,,,,,,,,,,,,,,,,,,,,,,
05,123,,,,,154.29717636167257,94.24872384974499,238.29947463874862,,,,,,,,,,,,,,,,,,,,,,
05,125,62.2610595303113,47.15591847397569,80.66642425228052,,98.09050483913157,54.90051093894398,161.78537059564374,,,,,,,,,,,,,,,,,,,,,,
05,127,157.68725361366623,81.47930497663884,275.4478981363594,,,,,,,,,,,,,,,,,,,,,,,,,,
05,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,131,78.2555641032443,59.57176118615998,100.94397612883755,,139.93003498250874,76.50105223688755,234.77882180745203,,,,,,,,,,,,,,,,,,37.19315645921151,19.218246679649816,64.96895936082616,,
05,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,139,67.23334774047927,36.75709684627863,112.80613322689129,,134.35157686324425,80.88842571324237,209.80662969583935,,,,,,,,,,,,,,,,,,,,,,
05,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,143,42.31882254099636,32.86222158423154,53.64919137195726,,87.59635599159074,42.00585753444669,161.09281746686912,,,,,,,,,,102.24144710971294,54.43926457730084,174.83598834572456,,,,,,61.5815255423373,44.745230732182414,82.67032369532225,,
05,145,75.9538915199714,56.5526611239549,99.86534026837604,,,,,,,,,,,,,,,,,,,,,,,,,,
05,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
